player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,Nationality
Simarjeet Singh,7,0,8,4,113,143,6,1.17,87.5,0,7.59,35.75,28.25,1,Indian
Sohail Tanvir,36,4,31,22,265,275,11,3.27,116.13,12.9,6.23,12.5,12.05,4,Overseas
Sunny Gupta,0,0,1,0,19,47,1,0,0,0,14.84,470000,190000,0,Indian
Sunny Singh,43,7,31,0,0,0,5,8.6,138.71,22.58,0,0,0,1,Indian
Swapnil Singh,12,0,20,1,61,90,5,2.4,60,0,8.85,89.99,60.99,0,Indian
T Banton,18,2,22,0,0,0,2,9,81.82,9.09,0,0,0,0,Overseas
T Henderson,11,1,16,1,36,41,2,5.5,68.75,6.25,6.83,41,36,0,Overseas
T Kohli,11,1,20,0,0,0,3,3.67,55,5,0,0,0,5,Indian
T Natarajan,3,0,5,38,793,1116,35,0.09,60,0,8.44,29.37,20.87,3,Indian
T Shamsi,2,0,4,3,120,185,5,0.4,50,0,9.25,61.66,40,0,Overseas
T Stubbs,2,0,4,0,0,0,2,1,50,0,0,0,0,0,Overseas
T Taibu,31,3,26,0,0,0,3,10.33,119.23,11.54,0,0,0,1,Overseas
T Thushara,12,0,19,8,144,164,6,2,63.16,0,6.83,20.5,18,3,Overseas
TA Boult,53,4,49,92,1860,2522,78,0.68,108.16,8.16,8.14,27.41,20.22,24,Overseas
TD Paine,10,0,29,0,0,0,2,5,34.48,0,0,0,0,0,Overseas
TG Southee,120,12,108,45,1226,1695,52,2.31,111.11,11.11,8.3,37.67,27.24,21,Overseas
TH David,187,28,94,0,0,0,9,20.78,198.94,29.79,0,0,0,6,Overseas
TK Curran,127,13,108,13,252,432,13,9.77,117.59,12.04,10.29,33.23,19.38,2,Overseas
TL Seifert,26,4,26,0,0,0,3,8.67,100,15.38,0,0,0,1,Overseas
TL Suman,676,81,587,6,152,198,40,16.9,115.16,13.8,7.82,33,25.33,10,Indian
TM Dilshan,1153,164,1047,5,275,368,50,23.06,110.12,15.66,8.03,73.6,55,21,Overseas
TM Head,205,20,151,2,48,81,10,20.5,135.76,13.25,10.12,40.5,24,3,Overseas
TM Srivastava,8,0,11,0,0,0,3,2.67,72.73,0,0,0,0,2,Indian
TR Birt,75,11,59,0,0,0,5,15,127.12,18.64,0,0,0,0,Indian
TS Mills,8,1,14,11,218,349,10,0.8,57.14,7.14,9.61,31.73,19.82,1,Overseas
TU Deshpande,21,3,12,4,153,260,7,3,175,25,10.2,65,38.25,2,Indian
Tilak Varma,397,45,313,0,12,13,14,28.36,126.84,14.38,6.5,130000,120000,10,Indian
U Kaul,0,0,1,0,0,0,1,0,0,0,0,0,0,2,Indian
UA Birla,7,1,15,0,0,0,1,7,46.67,6.67,0,0,0,1,Indian
UBT Chand,300,41,314,0,0,0,20,15,95.54,13.06,0,0,0,9,Indian
UT Khawaja,127,17,105,0,0,0,6,21.17,120.95,16.19,0,0,0,1,Overseas
UT Yadav,177,23,176,135,2945,4041,132,1.34,100.57,13.07,8.23,29.93,21.81,32,Indian
Umar Gul,39,6,19,12,153,198,6,6.5,205.26,31.58,7.76,16.5,12.75,0,Overseas
Umran Malik,4,0,8,24,388,551,17,0.24,50,0,8.52,22.96,16.17,3,Indian
V Kohli,6634,800,5266,4,264,371,216,30.71,125.98,15.19,8.43,92.75,66,93,Indian
V Pratap Singh,0,0,1,10,211,300,9,0,0,0,8.53,30,21.1,0,Indian
V Sehwag,2728,440,1833,6,138,236,104,26.23,148.83,24,10.26,39.33,23,34,Indian
V Shankar,731,74,616,9,258,344,47,15.55,118.67,12.01,8,38.22,28.67,27,Indian
VG Arora,5,0,14,3,110,165,5,1,35.71,0,9,55,36.67,1,Indian
VH Zol,29,4,26,0,0,0,2,14.5,111.54,15.38,0,0,0,0,Indian
VR Aaron,50,4,73,44,1065,1527,50,1,68.49,5.48,8.6,34.7,24.2,3,Indian
VR Iyer,552,75,474,3,78,117,22,25.09,116.46,15.82,9,39,26,11,Indian
