player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,Nationality
BR Dunk,40,7,36,0,0,0,3,13.33,111.11,19.44,0,0,0,4,Overseas
Basil Thampi,32,2,37,22,539,862,25,1.28,86.49,5.41,9.6,39.18,24.5,4,Indian
Bipul Sharma,187,20,124,17,436,581,29,6.45,150.81,16.13,8,34.18,25.65,7,Indian
C Madan,15,3,21,0,0,0,1,15,71.43,14.29,0,0,0,0,Indian
C Munro,177,27,144,0,12,15,12,14.75,122.92,18.75,7.5,150000,120000,4,Overseas
C Nanda,0,0,1,2,50,58,3,0,0,0,6.96,29,25,0,Indian
C Sakariya,16,2,25,17,405,521,17,0.94,64,8,7.72,30.65,23.82,6,Indian
C de Grandhomme,303,36,229,6,230,323,25,12.12,132.31,15.72,8.43,53.83,38.33,6,Overseas
CA Ingram,205,27,183,0,0,0,15,13.67,112.02,14.75,0,0,0,1,Overseas
CA Lynn,1329,198,974,0,0,0,42,31.64,136.45,20.33,0,0,0,12,Overseas
CA Pujara,390,54,403,0,0,0,22,17.73,96.77,13.4,0,0,0,6,Indian
CH Gayle,4997,767,3516,18,584,755,141,35.44,142.12,21.81,7.76,41.94,32.44,30,Overseas
CH Morris,618,76,413,96,1801,2377,81,7.63,149.64,18.4,7.92,24.76,18.76,36,Overseas
CJ Anderson,538,71,436,11,315,525,30,17.93,123.39,16.28,10,47.73,28.64,11,Overseas
CJ Ferguson,98,9,119,0,0,0,8,12.25,82.35,7.56,0,0,0,2,Overseas
CJ Jordan,75,6,68,27,577,870,28,2.68,110.29,8.82,9.05,32.22,21.37,13,Overseas
CJ McKay,8,0,15,1,42,60,2,4,53.33,0,8.57,59.99,42,0,Overseas
CK Kapugedera,16,0,24,0,17,49,4,4,66.67,0,17.29,490000,170000,4,Overseas
CK Langeveldt,8,1,9,13,165,199,7,1.14,88.89,11.11,7.24,15.31,12.69,0,Overseas
CL White,971,114,774,1,46,86,45,21.58,125.45,14.73,11.22,85.99,46,22,Overseas
CM Gautam,169,23,158,0,0,0,13,13,106.96,14.56,0,0,0,3,Indian
CR Brathwaite,181,26,120,13,266,384,16,11.31,150.83,21.67,8.66,29.54,20.46,6,Overseas
CR Woakes,78,9,77,30,463,674,21,3.71,101.3,11.69,8.73,22.47,15.43,6,Overseas
CRD Fernando,4,0,3,17,249,306,10,0.4,133.33,0,7.37,18,14.65,2,Overseas
CV Varun,24,2,38,42,992,1186,42,0.57,63.16,5.26,7.17,28.24,23.62,5,Indian
D Brevis,161,25,116,1,3,8,7,23,138.79,21.55,16,8,3,3,Overseas
D Kalyankrishna,3,0,8,2,50,88,3,1,37.5,0,10.56,44,25,1,Indian
D Padikkal,1260,172,1057,0,0,0,46,27.39,119.21,16.27,0,0,0,20,Indian
D Pretorius,44,6,28,6,138,213,6,7.33,157.14,21.43,9.26,35.5,23,2,Overseas
D Salunkhe,33,5,24,1,51,80,5,6.6,137.5,20.83,9.41,79.99,50.99,2,Indian
D Wiese,127,16,94,16,289,409,15,8.47,135.11,17.02,8.49,25.56,18.06,5,Overseas
D du Preez,10,0,13,4,43,56,2,5,76.92,0,7.81,14,10.75,0,Overseas
DA Miller,2455,282,1838,0,0,0,101,24.31,133.57,15.34,0,0,0,64,Overseas
DA Warner,5883,793,4313,0,2,2,162,36.31,136.4,18.39,6,20000,20000,76,Overseas
DAJ Bracewell,12,1,9,3,25,32,1,12,133.33,11.11,7.68,10.67,8.33,1,Overseas
DB Das,304,39,267,0,0,0,22,13.82,113.86,14.61,0,0,0,7,Indian
DB Ravi Teja,375,44,325,1,18,28,25,15,115.38,13.54,9.33,28,18,11,Indian
DE Bollinger,21,2,23,37,600,716,27,0.78,91.3,8.7,7.16,19.35,16.22,6,Overseas
DH Yagnik,170,25,142,0,0,0,17,10,119.72,17.61,0,0,0,12,Indian
DJ Bravo,1560,186,1247,183,3296,4436,160,9.75,125.1,14.92,8.08,24.24,18.01,69,Overseas
DJ Harris,111,16,103,0,18,26,4,27.75,107.77,15.53,8.67,260000,180000,5,Overseas
DJ Hooda,1237,133,970,10,359,505,80,15.46,127.53,13.71,8.44,50.5,35.9,42,Indian
DJ Hussey,1322,150,1101,8,323,485,61,21.67,120.07,13.62,9.01,60.62,40.37,25,Overseas
DJ Jacobs,92,14,101,0,0,0,7,13.14,91.09,13.86,0,0,0,3,Overseas
DJ Malan,26,2,26,0,0,0,1,26,100,7.69,0,0,0,1,Overseas
DJ Mitchell,33,1,46,0,13,27,2,16.5,71.74,2.17,12.46,270000,130000,2,Overseas
DJ Muthuswami,1,0,3,4,84,108,6,0.17,33.33,0,7.71,27,21,0,Overseas
DJ Thornely,39,4,54,3,44,40,5,7.8,72.22,7.41,5.45,13.33,14.67,2,Overseas
DJ Willey,18,3,32,3,127,171,7,2.57,56.25,9.38,8.08,57,42.33,3,Overseas
DJG Sammy,295,33,251,11,244,354,22,13.41,117.53,13.15,8.7,32.18,22.18,9,Overseas
DJM Short,115,16,102,1,18,23,7,16.43,112.75,15.69,7.67,23,18,2,Overseas
DL Chahar,79,8,59,59,1385,1739,63,1.25,133.9,13.56,7.53,29.47,23.47,10,Indian
DL Vettori,121,13,118,28,785,894,34,3.56,102.54,11.02,6.83,31.93,28.04,11,Overseas
DM Bravo,6,1,5,0,0,0,1,6,120,20,0,0,0,0,Overseas
DNT Zoysa,11,1,9,2,69,100,3,3.67,122.22,11.11,8.7,50,34.5,0,Overseas
DP Conway,252,35,176,0,0,0,7,36,143.18,19.89,0,0,0,2,Overseas
